UK Food,US Matches
"Tea, lemon, instant powder, with water","Coffee, dry instant powder, with whitener and sugar(65.17% match #92193000); Coffee, dry instant powder, decaffeinated(60.76% match #92191200); "
"Tea, herbal, infusion","Tea, herbal(68.75% match #92306000); "
"Tea, green, infusion","Peas, green, raw(61.11% match #75120000); "
"Tea, Chinese, leaves, infusion",
"Tea, infusion, average, with semi-skimmed milk",
"Tea, black, infusion, strong",
"Coffee, infusion, average, with single cream","Coffee, regular, with cereal(61.11% match #92153000); "
"Coffee, infusion, average","Coffee, liquid concentrate(66.67% match #92105000); "
"Tea, infusion, average, with whole milk",
"Coffee, infusion, weak","Coffee, liquid concentrate(62.5% match #92105000); "
"Coffee, Irish","Coffee, Turkish(85.71% match #92101600); Coffee, mocha(69.23% match #92101950); Coffee, Cuban(61.54% match #92101800); "
"Coffee, infusion, average, with whole milk","Coffee, mocha, made with soy milk(66.67% match #92101960); "
"Coffee, infusion, average, with semi-skimmed milk","Coffee, mocha, made with soy milk(60.98% match #92101960); "
"Coffee, instant, made up with water","Cornmeal mush, made with water(67.69% match #56201510); Coffee, dry instant powder, with whitener and sugar(65.12% match #92193000); Coffee, dry instant powder, decaffeinated(60.53% match #92191200); "
"Coffee, instant, made up with water and whole milk","Coffee, dry instant powder, with whitener and sugar(65.35% match #92193000); Coffee, dry instant powder, with whitener and low calorie sweetener(63.25% match #92193020); "
"Coffee, instant, made up with water and semi-skimmed milk","Coffee, dry instant powder, with whitener and sugar(62.96% match #92193000); "
"Coffee, infusion, strong",
"Pineapple juice, unsweetened","Apple, baked, unsweetened(71.7% match #63101320); Pineapple juice(69.77% match #64124020); Tea, leaf, unsweetened(68.0% match #92302000); "
Cranberry juice ,Strawberry juice(81.25% match #64132500); Carrot juice(71.43% match #73105010); Celery juice(71.43% match #75132100); 
"Orange juice, unsweetened","Topping, fruit, unsweetened(69.23% match #91304080); Prune, dried, cooked, unsweetened(68.97% match #62122220); Carbonated water, unsweetened(66.67% match #92410210); "
"Baby fruit juice drink, concentrated, fortified with vitamin C","Fruit juice drink, low calorie, with high vitamin C(69.03% match #92550030); Vegetable and fruit juice drink, low calorie, with high vitamin C(67.72% match #92550400); Fruit juice drink, reduced sugar, with vitamin E(65.45% match #92552030); "
"Baby fruit juice, fortified with vitamin C","Fruit juice drink, low calorie, with high vitamin C(66.67% match #92550030); Vegetable and fruit juice drink, low calorie, with high vitamin C(65.42% match #92550400); Fruit juice drink, reduced sugar, with vitamin E(64.44% match #92552030); "
"Pineapple juice concentrate, unsweetened","Tea, made from frozen concentrate, unsweetened(69.77% match #92304000); Peach, frozen, unsweetened(60.61% match #63135620); "
"Lemon juice, fresh","Lemon juice, frozen(86.49% match #61204600); Lime juice, frozen(72.22% match #61207600); "
"Grapefruit juice, unsweetened","Grapefruit juice, freshly squeezed(73.02% match #61201010); Topping, fruit, unsweetened(67.86% match #91304080); Tea, leaf, unsweetened(62.75% match #92302000); "
"Grape juice, unsweetened","Carbonated water, unsweetened(67.92% match #92410210); Cappuccino, sweetened(66.67% match #92161005); Tea, leaf, unsweetened(65.22% match #92302000); "
"Apple juice concentrate, unsweetened","Apple, dried, cooked, unsweetened(72.46% match #62101220); Tea, made from frozen concentrate, unsweetened(68.29% match #92304000); Pear, dried, cooked, unsweetened(61.76% match #62119220); "
Tomato juice,"Tomato juice(100.0% match #74301100); Tomato aspic(75.0% match #74501010); Tomato juice, low sodium(66.67% match #74301150); "
"Orange juice concentrate, unsweetened","Tea, made from frozen concentrate, unsweetened(69.88% match #92304000); "
"Apple juice, unsweetened","Apple, baked, unsweetened(81.63% match #63101320); Topping, fruit, unsweetened(70.59% match #91304080); Cappuccino, sweetened(66.67% match #92161005); "
"Ovaltine powder, made up with semi-skimmed milk",
"Complan powder, original and sweet",
"Complan powder, savoury",
Coffee and chicory essence,"Coffee and chicory, made from ground(67.74% match #92152000); Coffee and chicory, dry instant powder(62.5% match #92191500); "
"Drinking chocolate powder, made up with skimmed milk","Pudding, tapioca, chocolate, made with milk(61.05% match #13210530); Cookie, chocolate, made with rice cereal(60.87% match #53206500); "
"Horlicks powder, made up with whole milk","Eggnog, made with whole milk(67.65% match #11531000); "
"Horlicks powder, made up with semi-skimmed milk",
"Horlicks powder, made up with skimmed milk",
"Ovaltine powder, made up with whole milk","Eggnog, made with whole milk(70.59% match #11531000); "
"Ovaltine powder, made up with skimmed milk",
"Instant drinks powder, chocolate, low calorie",
"Build-up powder, soup",
"Horlicks LowFat Instant powder, made up with water",
"Tea, black, infusion, average",
"Build-up powder, shake",
"Coffee, instant","Coffee, Cuban(71.43% match #92101800); Coffee, Latte(71.43% match #92101900); Coffee, mocha(64.29% match #92101950); "
"Tea, lemon, instant powder",
Drinking chocolate powder,"Cookie, chocolate wafer(66.67% match #53210000); Fruit, chocolate covered(65.31% match #63401070); Icing, chocolate(63.41% match #91305010); "
"Drinking chocolate powder, reduced fat","Cookie, chocolate or fudge, reduced fat(75.32% match #53207020); Cookie, chocolate sandwich, reduced fat(70.13% match #53209020); Cookie, vanilla wafer, reduced fat(61.11% match #53247050); "
Horlicks LowFat Instant powder,
"Drinking chocolate powder, made up with whole milk","Hot chocolate, Puerto Rican style, made with whole milk(66.67% match #11512500); Pudding, tapioca, chocolate, made with milk(62.37% match #13210530); Whiting, coated, fried, made with oil(62.07% match #26157140); "
Bournvita powder,
Horlicks powder,
Ovaltine powder,
"Drinking chocolate powder, made up with semi-skimmed milk",
"Instant drinks powder, malted",
"Coffee and chicory essence, with water","Coffee, presweetened with sugar(60.87% match #92130020); Coffee and chicory, dry instant powder(60.53% match #92191500); "
"High juice drink, concentrated","Tang, dry concentrate(62.75% match #92900100); "
"Lime juice cordial, undiluted",
"Lime juice cordial, concentrated, made up",
"Milkshake syrup, concentrated",
"Rosehip syrup, concentrated","Coffee, liquid concentrate(60.38% match #92105000); "
"Rosehip syrup, concentrated, made up",
"Lemonade, homemade","Granola, homemade(68.57% match #57228000); Salsa, red, homemade(63.16% match #74402200); "
"Fruit juice drink, ready to drink","Fruit juice drink, low calorie(73.02% match #92550040); Fruit juice drink, reduced sugar, with vitamin E(66.67% match #92552030); Muscle Milk, ready-to-drink(66.67% match #95106000); "
"Fruit juice drink, low calorie, ready to drink","Fruit juice drink, low calorie(78.95% match #92550040); Fruit flavored drink, low calorie(65.82% match #92550620); "
Sunny Delight,
"Blackcurrant juice drink, concentrated, made up",
"Barley water, concentrated","Tang, dry concentrate(63.83% match #92900100); "
"High juice drink, concentrated, made up",
"Fruit drink, low sugar, concentrated, fortified, made up",
"Blackcurrant juice drink, undiluted",
"Fruit drink/squash, undiluted",
"Fruit drink/squash, concentrated, made up",
"Fruit drink, low calorie, undiluted","Fruit juice drink, low calorie(73.85% match #92550040); Fruit flavored drink, low calorie(70.59% match #92550620); "
"Fruit drink, low calorie, concentrated, made up","Fruit juice drink, low calorie(62.34% match #92550040); "
"Fruit drink, low sugar, concentrated, fortified",
"Barley water, concentrated, made up",
"Biscuits, homemade, rubbing-in method",
Shortbread,"Spoonbread(70.0% match #52213010); Cookie, shortbread(64.29% match #53239000); "
"Crunch biscuits, cream filled",
Semi-sweet biscuits,"Crackers, water biscuits(60.47% match #54336000); "
"Sandwich biscuits, cream filled",Sandwich spread(60.87% match #81302040); 
"Oatcakes, homemade","Granola, homemade(68.57% match #57228000); Salsa, red, homemade(68.42% match #74402200); "
Short sweet biscuits,Marie biscuit(60.61% match #53241510); 
"Oatcakes, retail","Pancakes, cornmeal(70.59% match #55105100); Pancakes, rye(68.97% match #55105400); Oats, raw(64.0% match #57602100); "
"Wafer biscuits, filled","Breadfruit, fried(61.54% match #75208520); "
Flapjacks,
Wholemeal crackers,"Whole wheat, cracked(73.68% match #57604100); "
"Gingernut biscuits, homemade",
"Biscuits, homemade, creaming method",
"Biscuits, homemade, wholemeal","Biscuit, whole wheat(65.31% match #52104040); "
"Biscuits, melting moments, homemade",
Oat based biscuits,Marie biscuit(64.52% match #53241510); 
"Chocolate biscuits, cream filled, full coated",
"Brandy snaps, home made","Granola, homemade(70.0% match #57228000); "
Cornish wafers,
"Wafers, filled, chocolate, full coated","Waffle, chocolate chip(63.33% match #55203600); Marshmallow, chocolate covered(61.76% match #91723010); Toffee, chocolate covered(60.32% match #91760100); "
"Sandwich biscuits, jam filled",
Matzos,
Cheese sandwich biscuits,"Cheese sandwich(76.92% match #14640000); Cheese sandwich, hoagie(72.34% match #14640200); Chicken patty sandwich or biscuit(70.18% match #27540180); "
Fig rolls,Pizza rolls(70.0% match #58108050); 
Fruit biscuits,Marie biscuit(74.07% match #53241510); Fruit syrup(64.0% match #91301050); Fruit sauce(64.0% match #91361020); 
Krackerwheat,"Crackers, wheat(81.48% match #54338000); "
"Oat based biscuits, chocolate, half coated","Granola bar with nuts, chocolate-coated(64.2% match #53714220); Raisins, chocolate covered(61.76% match #91739010); "
"Digestive biscuits, plain",
"Chocolate biscuits, full coated","Chocolate syrup, whole milk added(62.5% match #11513500); Chocolate syrup, skim milk added(60.32% match #11513700); "
Chocolate chip cookies,"Chocolate Cheerios(70.0% match #57124100); Chocolate, white(68.42% match #91705400); "
Cream crackers,Crab cake(69.57% match #27250040); Creamy dressing(62.07% match #83112500); 
"Crispbread, rye","Bread, rye(72.0% match #51401010); Crispbread, rye, low sodium(71.43% match #54222000); Crispbread, rye, no added fat(68.18% match #54322000); "
"Digestive biscuits, chocolate",
"Shortcake, chocolate, half coated","Fudge, chocolate, chocolate-coated(65.67% match #91713010); Topping, chocolate, hard coating(64.62% match #91304300); Fruit, chocolate covered(63.16% match #63401070); "
Water biscuits,"Marie biscuit(74.07% match #53241510); Crackers, water biscuits(68.42% match #54336000); Water chestnut(64.29% match #75235000); "
Gingernut biscuits,Marie biscuit(64.52% match #53241510); 
"White bread, 'with added fibre', toasted","Bread, white, special formula, added fiber, toasted(63.74% match #51122310); Bread, pita with fruit, toasted(61.97% match #51109200); "
"White bread, 'with added fibre'",
"White bread, French stick","White potato, sticks(62.22% match #71205000); "
"White bread, farmhouse or split tin, freshly baked",
"White bread, fried in lard",
"White bread, sliced","White potato, scalloped(61.9% match #71305010); "
"White bread, Danish style",
"Pitta bread, white","Bread, white(73.33% match #51101000); Wine, table, white(66.67% match #93401020); "
"White bread, premium",
"Tortillas, made with wheat flour","Cornmeal mush, made with water(64.52% match #56201510); Pastry, Chinese, made with rice flour(60.87% match #53452150); "
Wheatgerm bread,Wheat germ oil(68.97% match #82109000); 
"White bread, toasted","Roll, egg bread, toasted(72.73% match #51154560); Bread, rye, toasted(66.67% match #51401020); Bread, soy, toasted(66.67% match #51804020); "
"Wholemeal bread, average",Cereal beverage(66.67% match #92203000); Atole (corn meal beverage)(64.0% match #92613010); 
Ciabatta,
"Wholemeal bread, toasted","Roll, egg bread, toasted(75.0% match #51154560); Roll, oat bran, toasted(68.09% match #51502110); Bagel, oat bran, toasted(62.5% match #51501090); "
"Bannocks, made with beremeal",Meat loaf made with beef(61.54% match #27214100); 
"Bannocks, made with wheat flour","Pastry, Chinese, made with rice flour(64.71% match #53452150); "
Milk bread,
Soda Bread,
"Pappadums, takeaway",
"Currant bread, toasted","Bread, oat bran, toasted(69.57% match #51501050); Roll, oat bran, toasted(66.67% match #51502110); Bread, soy, toasted(63.41% match #51804020); "
Paratha,Margarita(62.5% match #93301100); 
"Papadums, raw","Papaya, raw(75.0% match #63133010); Plum, raw(72.73% match #63143010); Asparagus, raw(66.67% match #75100800); "
Naan bread,"Naan, Indian flatbread(62.5% match #51108100); "
"Breadcrumbs, manufactured","Breadfruit, fried(61.9% match #75208520); "
Rye bread,"Roll, egg bread(66.67% match #51154550); "
"Breadcrumbs, homemade","Salsa, red, homemade(63.41% match #74402200); "
"White bread, average",Rice beverage(66.67% match #92205000); Bean beverage(60.61% match #92306200); 
"White bread, large, crusty","White pizza, thin crust(61.22% match #58107220); "
"White bread, large, tin",
"White bread, fried in blended oil",
"White bread, Scottish batch, unwrapped",
"White bread, Scottish batch, wrapped",
"Garlic bread, pre-packed, frozen","Cornbread, prepared from mix(63.33% match #52201000); "
Currant bread,"Currants, dried(78.57% match #62108100); Currants, raw(76.92% match #63117010); "
"White bread, Vienna",
Granary bread,"Gravy, redeye(61.54% match #28500150); "
"Malt bread, fruited","Bread, fruit(70.97% match #52405010); Banana, red, fried(64.86% match #63107090); Pastry, fruit-filled(61.54% match #53452100); "
"Chapatis, made without fat","Cod, coated, fried, made without fat(70.97% match #26109143); Shrimp, coated, fried, made without fat(70.77% match #26319143); Salmon, coated, fried, made without fat(67.69% match #26137143); "
"Chapatis, made with fat","Shrimp, coated, fried, made without fat(64.52% match #26319143); Tilapia, coated, fried, made without fat(63.49% match #26158033); Tamale with meat(61.54% match #58103120); "
"Brown bread, toasted","Roll, egg bread, toasted(72.73% match #51154560); Bread, rye, toasted(71.79% match #51401020); Bread, soy, toasted(71.79% match #51804020); "
"Brown bread, average",Corn beverage(66.67% match #92306100); Bean beverage(66.67% match #92306200); 
"Bread, speciality, white","Bread, white(66.67% match #51101000); Bread, pita, toasted(63.64% match #51109110); Bread, whole grain white(62.5% match #51300050); "
"Bread, softgrain","Bread, multigrain(78.79% match #51601020); Bread, soy(69.23% match #51804010); Bread stuffing(66.67% match #51182010); "
Cheerios,Cheerios(100.0% match #57123000); Fruity Cheerios(69.57% match #57221810); Frosted Cheerios(66.67% match #57213850); 
Multi-Grain Start,MultiGrain Cheerios(66.67% match #57308400); 
Ricicles,Licorice(62.5% match #91721000); 
Shredded Wheat,"Shredded WheatN Bran(82.35% match #57341000); Shredded Wheat, 100%(82.35% match #57417000); "
Shreddies,
Special K,Special K(100.0% match #57344000); Special K Blueberry(64.29% match #57344001); 
Rice Krispies,"Cocoa Krispies(74.07% match #57126000); Rice Krispies, Kelloggs(72.22% match #57339000); Rice with raisins(66.67% match #58164110); "
Sugar Puffs,Corn Puffs(66.67% match #57137000); 
Sultana Bran,
Weetabix,
"Porridge, made with water","Cornmeal mush, made with water(72.73% match #56201510); Perch, coated, fried, made with butter(63.49% match #26127141); Horchata beverage, made with rice(62.07% match #92611510); "
Nutri-Grain,
"Porridge, made with milk and water","Potato soup, NS as to made with milk or water(63.29% match #71801000); White potato, from dry, mashed, made with milk and fat(61.36% match #71501040); "
"Muesli, with no added sugar",
"Muesli, swiss style",
"Porridge, made with whole milk","Eggnog, made with whole milk(82.76% match #11531000); Cornmeal mush, made with milk(64.41% match #56201530); Coffee, mocha, made with soy milk(63.49% match #92101960); "
Grapenuts,Grape-Nuts(84.21% match #57230000); Grape-Nuts Flakes(61.54% match #57231000); 
Ready Brek,
Fruit 'n Fibre,"Fruit  Fibre (fiber), NFS(61.54% match #57219000); Fruit Whirls(61.54% match #57221800); "
Raisin Splitz,
Weetos,
"Muesli, with extra fruit","Pancakes, with fruit(63.64% match #55103000); Applesauce with other fruits(61.54% match #63101150); "
Puffed Wheat,Puffed wheat cake(75.86% match #54319200); Malt-O-Meal Puffed Wheat(66.67% match #57306120); 
Crunchy Oat Cereal,
Muesli,
Frosties,Frosty Os(70.59% match #57215000); 
Bran Flakes,Amaranth Flakes(76.92% match #57103050); Grape-Nuts Flakes(64.29% match #57231000); 
Clusters,Custard(66.67% match #13210300); 
Coco Pops,Corn Pops(77.78% match #57347000); 
"Oat Bran Flakes, with raisins","Oat Bran Flakes, Health Valley(71.19% match #57316300); Crackers, graham, with raisins(64.41% match #54102080); Cookie, oatmeal, with raisins(62.07% match #53233010); "
Corn Flakes,"Corn flakes, NFS(74.07% match #57134000); Corn relish(63.64% match #75501010); Corn oil(63.16% match #82102000); "
Crunchy Nut Corn Flakes,"Crunchy Corn Bran, Quaker(66.67% match #57131000); Honey Crunch Corn Flakes, Kelloggs(63.16% match #57239100); "
All-Bran,All-Bran(100.0% match #57101000); 
Smacks,
"Jam tarts, homemade","Granola, homemade(66.67% match #57228000); Salsa, red, homemade(66.67% match #74402200); "
Gulab jamen/jambu (retail),
Gulab jamen/jambu (homemade),
"Eclairs, fresh",
"Doughnuts, custard-filled","Doughnut, custard-filled(97.96% match #53521210); Doughnut, custard-filled, with icing(78.69% match #53521230); Pupusa, cheese-filled(60.87% match #58105100); "
"Custard tart, large",
"Scones, plain","Pancakes, plain(71.43% match #55101000); Toffee, plain(69.23% match #91760000); Nougat, plain(61.54% match #91726000); "
Cream horns,Cream soda(66.67% match #92410410); 
Vanilla Slices,
"Jam tarts, wholemeal",
Strawberry tartlets,Strawberry juice(68.57% match #64132500); 
Choux buns,
"Jellabi, homemade","Granola, homemade(70.59% match #57228000); "
"Mincemeat tart, one crust","Pie, rhubarb, one crust(66.67% match #53311050); Pie, prune, one crust(60.87% match #53308500); "
"Muffins, bran","Muffin, oat bran(82.76% match #52304150); Muffin, plain(76.92% match #52306010); Muffin, fruit (66.67% match #52302010); "
Pinni,
"Scones, cheese","Roll, cheese(69.23% match #51154600); Strudel, cheese(68.97% match #53440600); Cracker, cheese(68.97% match #54304000); "
Rum baba,
"Scones, potato","Bread, potato(66.67% match #51127010); Scone, whole wheat(62.5% match #52105110); Gnocchi, potato(62.07% match #58122220); "
"Scones, wholemeal, fruit","Scone, with fruit(73.17% match #52105200); "
Sevyiaan,
Waffles,Truffles(66.67% match #91760500); 
Welsh cheesecakes,Cheesecake(66.67% match #53104500); 
"Mince pies, individual","Pie, pear, individual size or tart(60.71% match #53307570); "
Scotch pancakes,Potato pancake(68.97% match #71701000); 
Burfi,
"Scones, wholemeal","Scone, whole wheat(80.0% match #52105110); Pancakes, whole wheat(63.16% match #55105200); "
Hot cross buns,
Asian pastries,
"Doughnuts, jam","Doughnut, Asian(75.86% match #53520500); Doughnut, jelly(75.86% match #53521140); Doughnut, wheat(75.86% match #53521250); "
"Doughnuts, ring, iced","Doughnut, Asian(66.67% match #53520500); Doughnut, custard-filled(62.22% match #53521210); Doughnut, wheat(61.11% match #53521250); "
"Eclairs, frozen","Blackberries, frozen(68.57% match #63201600); Loganberries, frozen(62.86% match #63215600); "
Greek pastries,Turkey pastrami(62.07% match #25230820); 
Halva,Baklava(66.67% match #53441110); 
Halwa,
"Teacakes, fresh","Pancakes, rye(71.43% match #55105400); Pancakes, cornmeal(60.61% match #55105100); "
"Bagels, plain","Bagel, multigrain(73.33% match #51630000); Pancakes, plain(71.43% match #55101000); Waffle, plain(69.23% match #55201000); "
"Crumpets, toasted","Crumpet, toasted(96.97% match #52101050); Bread, soy, toasted(66.67% match #51804020); Bagel, toasted(64.52% match #51180020); "
"Teacakes, toasted","Bread, cheese, toasted(71.79% match #51111040); Bread, rice, toasted(70.27% match #51806020); Bread, rye, toasted(66.67% match #51401020); "
"Custard tarts, individual",
Danish pastries,"Danish pastry, with cheese(73.17% match #53511000); "
"Doughnuts, ring","Doughnut, Asian(80.0% match #53520500); Doughnut, jelly(66.67% match #53521140); Doughnut, wheat(66.67% match #53521250); "
"Jam tarts, retail",
"Muffins, English style, white","Muffin, English, rye, toasted(75.86% match #51401210); Muffin, English, cheese, toasted(72.13% match #51186140); Muffin, English, wheat bran(71.43% match #51302500); "
"Muffins, English style, white, toasted","Muffin, English, rye, toasted(80.6% match #51401210); Muffin, English, wheat bran, toasted(78.38% match #51302510); Muffin, English, oat bran, toasted(75.0% match #51503010); "
"Scones, fruit, retail","Scone, with fruit(63.16% match #52105200); Passion fruit, raw(61.54% match #63134010); "
"Scotch pancakes, retail","Pancakes, cornmeal(63.41% match #55105100); Pancakes, rye(61.11% match #55105400); "
Chelsea buns,"Cheese, Muenster(64.29% match #14107200); "
Eccles cake,
Currant buns,"Currants, raw(64.0% match #63117010); "
Reduced fat cake,Puffed wheat cake(66.67% match #54319200); 
"Muffins, American style, chocolate chip","Muffin, chocolate chip(72.13% match #52302500); Waffle, chocolate chip(65.57% match #55203600); "
Carrot cake (with topping),
"Sponge cake, fatless","Spaghetti sauce, meatless(66.67% match #74404010); "
Sponge cake,Popcorn cake(69.57% match #54319020); 
Rice cakes,"Rice paper(70.0% match #54319500); Rice Flakes, NFS(69.23% match #57337000); Rice dressing(60.87% match #58163510); "
"Fruit cake, rich, iced, homemade","Salsa, red, homemade(61.54% match #74402200); "
Lardy cake,Crab cake(63.16% match #27250040); Bean cake(63.16% match #41210000); 
"Fruit cake, wholemeal, homemade","Granola, homemade(62.5% match #57228000); "
All-Bran loaf,All-Bran(76.19% match #57101000); 
Cherry Cake,
Chocolate cake,"Chocolate gravy(75.86% match #91303750); Chocolate, white(73.33% match #91705400); Chocolate, sweet or dark(63.16% match #91705300); "
"Chocolate cake, with butter icing","Chocolate, milk, with peanuts(64.52% match #91705070); Chocolate, white, with cereal(64.52% match #91705420); Cookie, brownie, without icing(63.49% match #53204010); "
Welsh cakes,Welsh rarebit(66.67% match #14630300); 
Gingerbread,Ginger ale(66.67% match #92410610); 
Rock cakes,Popcorn cake(63.64% match #54319020); 
Sponge cake with butter icing,
Swiss roll,
"Fruit cake, rich, homemade","Salsa, red, homemade(60.87% match #74402200); "
"Gateau, fruit, frozen","Pie, yogurt, frozen(65.0% match #53366000); Breadfruit, fried(63.16% match #75208520); "
Coconut cake,Popcorn cake(75.0% match #54319020); Coconut oil(69.57% match #82101500); 
"Fruit cake, rich, retail",
"Sponge cake, with dairy cream and jam",
Chinese cakes and biscuits,"Crackers, water biscuits(64.0% match #54336000); "
Crispie cakes,"Crab cake(63.64% match #27250040); Crisp, cherry(61.54% match #53415400); "
"Rice flour cakes, glutinous,  Chinese",
"Sponge cake, jam filled",
Chocolate cup cake,"Chocolate gravy(66.67% match #91303750); Chocolate, white(64.71% match #91705400); Chocolate, sweet or dark(61.9% match #91705300); "
Chocolate covered marshmallow teacake,"Pie, chocolate-marshmallow(60.32% match #53382000); "
"Sponge cake, butter cream, filling, retail",
Jaffa cakes,
Banana bread,"Banana, baked(80.0% match #63107110); Banana, red, fried(66.67% match #63107090); Banana, ripe, fried(64.52% match #63107210); "
Cake mix,"Crackers, milk(63.64% match #54308000); "
"Cake mix, made up",
Battenburg cake,Bean cake(66.67% match #41210000); 
"Swiss roll, chocolate, individual","Pie, chocolate cream, individual size or tart(61.54% match #53342070); "
Madeira cake,Crab cake(66.67% match #27250040); 
"Fruit cake, plain, retail","Pancakes, plain, reduced fat(60.38% match #55101015); "
"Fancy iced cakes, individual",
Chocolate fudge cake,Chocolate gravy(68.57% match #91303750); Chocolate Cheerios(63.16% match #57124100); Chocolate Lucky Charms(61.9% match #57124300); 
"Gateau, chocolate based, frozen","Caramel, chocolate-flavored roll(60.32% match #91703010); "
"Wheat flour, wholemeal","Flour, whole wheat(65.0% match #50020000); "
"Chapati flour, brown","Cauliflower, raw(61.11% match #75107000); "
"Soya flour, full fat",
"Soya flour, low fat",
"Tapioca, raw","Papaya, raw(69.57% match #63133010); Garlic, raw(69.57% match #75111500); Avocado, raw(66.67% match #63105010); "
"Wheat flour, patent","Wheat germ, plain(66.67% match #57412000); White potato, patty(63.16% match #71503010); "
"Semolina, raw","Lemon, raw(78.26% match #61113010); Spinach, raw(72.0% match #72125100); Watermelon, raw(64.29% match #63149010); "
"Chapati flour, white","Flour, white(68.75% match #50010000); Chocolate, white(61.11% match #91705400); "
Cornflour,
"Rye flour, whole","Flour, whole wheat(64.71% match #50020000); "
"Wheat flour, brown",
"Wheat flour, white, plain","Wheat germ, plain(66.67% match #57412000); Wheat, puffed, plain(66.67% match #57416000); "
"Sago, raw","Mango, raw(84.21% match #63129010); Tangelo, raw(76.19% match #61125000); Sugar, raw(73.68% match #91104200); "
"Wheat flour, white, self-raising",
"Wheat flour, white, breadmaking",
Bulgur wheat,"Bagel, wheat(66.67% match #51301700); Doughnut, wheat(66.67% match #53521250); Burrito with meat(62.07% match #58100100); "
Wheatgerm,Wheat germ oil(78.26% match #82109000); 
"Barley, pearl, raw","Parsley, raw(66.67% match #75119000); "
Rice flour,
"Barley, pearl, boiled","Banana, ripe, boiled(68.29% match #63107310); Dasheen, boiled(61.11% match #71962010); "
"Barley, whole grain, raw","Bagel, whole grain white(75.0% match #51300100); Bread, whole grain white, toasted(63.16% match #51300060); Cracker, cheese, whole grain(61.54% match #54304150); "
Buckwheat,Bruschetta(63.16% match #51136000); 
Arrowroot,
"Cornmeal, sifted","Cornmeal mush, fried(72.22% match #56201520); Cornmeal sticks, boiled(66.67% match #56201560); Cornmeal dumpling(60.61% match #56201550); "
"Cornmeal, unsifted","Cornmeal mush, fried(68.42% match #56201520); Cornmeal sticks, boiled(63.41% match #56201560); "
Custard powder,"Custard(66.67% match #13210300); Postum, dry powder(62.5% match #92291300); "
Gari,
"Hominy, raw","Corn, raw(70.0% match #75109600); Pompano, raw(69.57% match #26131100); Porgy, raw(66.67% match #26133100); "
Millet flour,"Millet, puffed(61.54% match #57307500); "
