UKFoodCode	FoodName
17-411	"Baby fruit juice drink, concentrated, fortified with vitamin C"
17-410	"Baby fruit juice, fortified with vitamin C"
14-287	"Pineapple juice concentrate, unsweetened"
14-277	"Lemon juice, fresh"
14-275	"Grapefruit juice, unsweetened"
14-273	"Grape juice, unsweetened"
14-272	"Apple juice concentrate, unsweetened"
13-382	Tomato juice
14-284	"Orange juice concentrate, unsweetened"
14-271	"Apple juice, unsweetened"
17-565	"Ovaltine powder, made up with semi-skimmed milk"
17-540	"Complan powder, original and sweet"
17-541	"Complan powder, savoury"
17-545	Coffee and chicory essence
17-559	"Drinking chocolate powder, made up with skimmed milk"
17-560	"Horlicks powder, made up with whole milk"
17-561	"Horlicks powder, made up with semi-skimmed milk"
17-562	"Horlicks powder, made up with skimmed milk"
17-564	"Ovaltine powder, made up with whole milk"
17-566	"Ovaltine powder, made up with skimmed milk"
17-500	"Instant drinks powder, chocolate, low calorie"
17-535	"Build-up powder, soup"
17-563	"Horlicks LowFat Instant powder, made up with water"
17-165	"Tea, black, infusion, average"
17-534	"Build-up powder, shake"
17-158	"Coffee, instant"
17-173	"Tea, lemon, instant powder"
17-498	Drinking chocolate powder
17-499	"Drinking chocolate powder, reduced fat"
17-502	Horlicks LowFat Instant powder
17-533	"Drinking chocolate powder, made up with whole milk"
50-1043	Bournvita powder
17-503	Horlicks powder
17-504	Ovaltine powder
17-532	"Drinking chocolate powder, made up with semi-skimmed milk"
17-501	"Instant drinks powder, malted"
17-163	"Coffee and chicory essence, with water"
17-197	"High juice drink, concentrated"
17-200	"Lime juice cordial, undiluted"
17-201	"Lime juice cordial, concentrated, made up"
17-202	"Milkshake syrup, concentrated"
17-205	"Rosehip syrup, concentrated"
17-206	"Rosehip syrup, concentrated, made up"
17-595	"Lemonade, homemade"
17-195	"Fruit juice drink, ready to drink"
17-196	"Fruit juice drink, low calorie, ready to drink"
17-536	Sunny Delight
17-188	"Blackcurrant juice drink, concentrated, made up"
17-185	"Barley water, concentrated"
17-198	"High juice drink, concentrated, made up"
17-194	"Fruit drink, low sugar, concentrated, fortified, made up"
17-187	"Blackcurrant juice drink, undiluted"
17-189	"Fruit drink/squash, undiluted"
17-190	"Fruit drink/squash, concentrated, made up"
17-191	"Fruit drink, low calorie, undiluted"
17-192	"Fruit drink, low calorie, concentrated, made up"
17-193	"Fruit drink, low sugar, concentrated, fortified"
17-186	"Barley water, concentrated, made up"
11-636	"Biscuits, homemade, rubbing-in method"
11-523	Shortbread
11-520	"Crunch biscuits, cream filled"
11-521	Semi-sweet biscuits
11-519	"Sandwich biscuits, cream filled"
11-639	"Oatcakes, homemade"
11-522	Short sweet biscuits
11-518	"Oatcakes, retail"
11-524	"Wafer biscuits, filled"
11-571	Flapjacks
11-572	Wholemeal crackers
11-625	"Gingernut biscuits, homemade"
11-635	"Biscuits, homemade, creaming method"
11-637	"Biscuits, homemade, wholemeal"
11-638	"Biscuits, melting moments, homemade"
11-517	Oat based biscuits
11-507	"Chocolate biscuits, cream filled, full coated"
11-634	"Brandy snaps, home made"
11-407	Cornish wafers
11-509	"Wafers, filled, chocolate, full coated"
11-516	"Sandwich biscuits, jam filled"
11-178	Matzos
11-404	Cheese sandwich biscuits
11-409	Fig rolls
11-410	Fruit biscuits
11-411	Krackerwheat
11-413	"Oat based biscuits, chocolate, half coated"
11-513	"Digestive biscuits, plain"
11-506	"Chocolate biscuits, full coated"
11-508	Chocolate chip cookies
11-510	Cream crackers
11-511	"Crispbread, rye"
11-512	"Digestive biscuits, chocolate"
11-415	"Shortcake, chocolate, half coated"
11-187	Water biscuits
11-514	Gingernut biscuits
11-473	"White bread, 'with added fibre', toasted"
11-472	"White bread, 'with added fibre'"
11-471	"White bread, French stick"
11-470	"White bread, farmhouse or split tin, freshly baked"
11-469	"White bread, fried in lard"
11-468	"White bread, sliced"
11-466	"White bread, Danish style"
11-465	"Pitta bread, white"
11-474	"White bread, premium"
11-632	"Tortillas, made with wheat flour"
11-467	Wheatgerm bread
11-475	"White bread, toasted"
11-476	"Wholemeal bread, average"
11-609	Ciabatta
11-611	"Wholemeal bread, toasted"
11-627	"Bannocks, made with beremeal"
11-628	"Bannocks, made with wheat flour"
11-629	Milk bread
11-631	Soda Bread
11-464	"Pappadums, takeaway"
11-077	"Currant bread, toasted"
11-630	Paratha
11-087	"Papadums, raw"
11-463	Naan bread
11-069	"Breadcrumbs, manufactured"
11-091	Rye bread
11-068	"Breadcrumbs, homemade"
11-099	"White bread, average"
11-100	"White bread, large, crusty"
11-101	"White bread, large, tin"
11-105	"White bread, fried in blended oil"
11-108	"White bread, Scottish batch, unwrapped"
11-109	"White bread, Scottish batch, wrapped"
11-460	"Garlic bread, pre-packed, frozen"
11-076	Currant bread
11-110	"White bread, Vienna"
11-461	Granary bread
11-462	"Malt bread, fruited"
11-459	"Chapatis, made without fat"
11-458	"Chapatis, made with fat"
11-457	"Brown bread, toasted"
11-456	"Brown bread, average"
11-399	"Bread, speciality, white"
11-398	"Bread, softgrain"
11-623	Cheerios
11-502	Multi-Grain Start
11-498	Ricicles
11-499	Shredded Wheat
11-500	Shreddies
11-501	Special K
11-497	Rice Krispies
11-503	Sugar Puffs
11-504	Sultana Bran
11-505	Weetabix
11-569	"Porridge, made with water"
11-612	Nutri-Grain
11-633	"Porridge, made with milk and water"
11-495	"Muesli, with no added sugar"
11-494	"Muesli, swiss style"
11-570	"Porridge, made with whole milk"
11-135	Grapenuts
11-496	Ready Brek
11-493	Fruit 'n Fibre
50-079	Raisin Splitz
50-092	Weetos
11-138	"Muesli, with extra fruit"
11-144	Puffed Wheat
11-403	Crunchy Oat Cereal
11-369	Muesli
11-492	Frosties
11-486	Bran Flakes
11-487	Clusters
11-488	Coco Pops
11-489	"Oat Bran Flakes, with raisins"
11-490	Corn Flakes
11-491	Crunchy Nut Corn Flakes
11-485	All-Bran
50-085	Smacks
11-662	"Jam tarts, homemade"
11-661	Gulab jamen/jambu (retail)
11-659	Gulab jamen/jambu (homemade)
11-657	"Eclairs, fresh"
11-656	"Doughnuts, custard-filled"
11-655	"Custard tart, large"
11-592	"Scones, plain"
11-654	Cream horns
11-690	Vanilla Slices
11-663	"Jam tarts, wholemeal"
11-678	Strawberry tartlets
11-653	Choux buns
11-665	"Jellabi, homemade"
11-666	"Mincemeat tart, one crust"
11-667	"Muffins, bran"
11-668	Pinni
11-669	"Scones, cheese"
11-672	Rum baba
11-673	"Scones, potato"
11-674	"Scones, wholemeal, fruit"
11-676	Sevyiaan
11-679	Waffles
11-680	Welsh cheesecakes
11-591	"Mince pies, individual"
11-675	Scotch pancakes
11-231	Burfi
11-593	"Scones, wholemeal"
11-590	Hot cross buns
11-230	Asian pastries
11-242	"Doughnuts, jam"
11-244	"Doughnuts, ring, iced"
11-247	"Eclairs, frozen"
11-248	Greek pastries
11-251	Halva
11-252	Halwa
11-273	"Teacakes, fresh"
11-534	"Bagels, plain"
11-535	"Crumpets, toasted"
11-545	"Teacakes, toasted"
11-537	"Custard tarts, individual"
11-538	Danish pastries
11-539	"Doughnuts, ring"
11-540	"Jam tarts, retail"
11-541	"Muffins, English style, white"
11-542	"Muffins, English style, white, toasted"
11-543	"Scones, fruit, retail"
11-544	"Scotch pancakes, retail"
11-588	Chelsea buns
11-589	Eccles cake
11-536	Currant buns
11-617	Reduced fat cake
11-608	"Muffins, American style, chocolate chip"
11-616	Carrot cake (with topping)
11-581	"Sponge cake, fatless"
11-580	Sponge cake
11-618	Rice cakes
11-578	"Fruit cake, rich, iced, homemade"
11-645	Lardy cake
11-579	"Fruit cake, wholemeal, homemade"
11-624	All-Bran loaf
11-640	Cherry Cake
11-641	Chocolate cake
11-642	"Chocolate cake, with butter icing"
11-649	Welsh cakes
11-644	Gingerbread
11-646	Rock cakes
11-647	Sponge cake with butter icing
11-648	Swiss roll
11-577	"Fruit cake, rich, homemade"
11-530	"Gateau, fruit, frozen"
11-643	Coconut cake
11-202	"Fruit cake, rich, retail"
11-532	"Sponge cake, with dairy cream and jam"
11-194	Chinese cakes and biscuits
11-576	Crispie cakes
11-207	"Rice flour cakes, glutinous,  Chinese"
11-213	"Sponge cake, jam filled"
11-418	Chocolate cup cake
11-419	Chocolate covered marshmallow teacake
11-422	"Sponge cake, butter cream, filling, retail"
11-515	Jaffa cakes
11-573	Banana bread
11-191	Cake mix
11-525	"Cake mix, made up"
11-574	Battenburg cake
11-533	"Swiss roll, chocolate, individual"
11-531	Madeira cake
11-529	"Fruit cake, plain, retail"
11-528	"Fancy iced cakes, individual"
11-527	Chocolate fudge cake
11-526	"Gateau, chocolate based, frozen"
11-441	"Wheat flour, wholemeal"
11-433	"Chapati flour, brown"
11-025	"Soya flour, full fat"
11-026	"Soya flour, low fat"
11-027	"Tapioca, raw"
11-029	"Wheat flour, patent"
11-024	"Semolina, raw"
11-434	"Chapati flour, white"
11-435	Cornflour
11-436	"Rye flour, whole"
11-437	"Wheat flour, brown"
11-439	"Wheat flour, white, plain"
11-023	"Sago, raw"
11-440	"Wheat flour, white, self-raising"
11-438	"Wheat flour, white, breadmaking"
11-007	Bulgur wheat
11-622	Wheatgerm
11-002	"Barley, pearl, raw"
11-021	Rice flour
11-003	"Barley, pearl, boiled"
11-004	"Barley, whole grain, raw"
11-006	Buckwheat
11-001	Arrowroot
11-011	"Cornmeal, sifted"
11-012	"Cornmeal, unsifted"
11-013	Custard powder
11-014	Gari
11-015	"Hominy, raw"
11-016	Millet flour
11-017	"Oatmeal, raw"
11-018	"Oatmeal, quick cook, raw"
11-005	"Bran, wheat"
11-161	"Rusks, plain"
11-163	"Rusks, flavoured"
11-162	"Rusks, low sugar"
11-160	"Baby cereals, wheat-based"
11-158	"Baby cereals, rice-based"
11-164	"Rusks, wholemeal"
11-159	"Baby cereals, various cereal-based"
11-449	"Pasta, plain, fresh, raw"
11-626	"Noodles, egg, fried"
11-621	"Ravioli, canned in tomato sauce"
11-562	Macaroni cheese
11-455	"Spaghetti, wholemeal, boiled"
11-454	"Spaghetti, wholemeal, raw"
11-453	"Spaghetti, white, boiled"
11-452	"Spaghetti, white, raw"
11-451	"Pasta, fresh, cheese and vegetable stuffed, cooked"
11-450	"Pasta, plain, fresh, cooked"
11-448	"Macaroni, boiled"
11-447	"Macaroni, raw"
11-065	"Vermicelli, raw"
11-060	"Noodles, rice, dried"
11-059	"Noodles, plain, boiled"
11-058	"Noodles, plain, raw"
11-056	"Noodles, egg, boiled"
11-055	"Noodles, egg, raw"
11-051	"Lasagna, sheets, raw"
11-052	"Lasagna, sheets, boiled"
11-585	"Shortcrust pastry, cooked"
11-587	"Wholemeal pastry, cooked"
11-652	"Choux pastry, cooked"
11-650	Cheese pastry
11-586	"Wholemeal pastry, raw"
11-583	"Flaky pastry, cooked"
11-224	"Puff pastry, frozen, raw"
11-582	"Flaky pastry, raw"
11-584	"Shortcrust pastry, raw"
11-227	"Shortcrust pastry, frozen, raw"
11-651	"Choux pastry, raw"
11-703	"Fruit pie, with pie filling"
11-691	Bread and butter pudding
11-693	"Crumble, with pie filling"
11-694	"Crumble, apple"
11-695	"Crumble, fruit"
11-696	Eve's pudding
11-698	"Flan case, pastry"
11-699	"Flan case, sponge"
11-700	"Flan, pastry, with fruit"
11-685	Bakewell tart
11-702	"Pancakes, sweet, made with skimmed milk"
11-687	"Fruit pie, wholemeal, pastry top and bottom, blackcurrant"
11-704	"Fruit pie, wholemeal, with pie filling"
11-705	Queen of Puddings
11-706	Sponge pudding
11-707	"Sponge pudding, with dried fruit"
11-708	"Sponge pudding, with jam or treacle"
11-709	Spotted dick
11-710	Suet pudding
11-701	"Flan, sponge, with fruit"
11-548	Lemon meringue pie
11-291	"Christmas pudding, retail"
11-426	"Bakewell tart, individual"
11-427	"Rice desserts, with fruit, individual, chilled"
11-692	"Christmas pudding, homemade"
11-547	"Fruit pie, individual"
11-684	"Apple pie, wholemeal, pastry top and bottom"
11-549	"Sponge pudding, canned"
11-594	Bread pudding
11-595	"Crumble, fruit, wholemeal"
11-683	"Apple pie, pastry top and bottom"
11-597	"Fruit pie, pastry top and bottom"
11-598	"Fruit pie, pastry top and bottom, blackcurrant"
11-599	"Fruit pie, wholemeal, one crust"
11-600	"Fruit pie, wholemeal, pastry top and bottom"
11-601	"Pancakes, sweet, made with whole milk"
11-602	Treacle tart
11-681	"Apple pie, one crust"
11-682	"Apple pie, wholemeal, one crust"
11-596	"Fruit pie, one crust"
11-546	"Crumble, fruit, retail"
11-443	"Brown rice, boiled"
11-444	"Egg fried rice, takeaway"
11-445	"White rice, easy cook, raw"
11-446	"White rice, easy cook, boiled"
11-038	"Red rice, boiled"
11-561	"Pilau, plain"
11-610	"White rice, fried"
11-442	"Brown rice, raw"
11-620	"Savoury rice, cooked"
11-049	"White rice, polished, raw"
11-048	"White rice, parboiled"
11-047	"White rice, glutinous, boiled"
11-046	"White rice, glutinous, raw"
11-044	"White rice, flaked, raw"
11-039	"Savoury rice, raw"
11-041	"White rice, basmati, raw"
11-037	"Red rice, raw"
11-050	"White rice, polished, boiled"
11-479	Granary rolls
11-484	Wholemeal rolls
11-483	"White rolls, soft"
11-482	"White rolls, crusty"
11-480	Croissants
11-478	"Brown rolls, soft"
11-477	"Brown rolls, crusty"
11-402	"Croissants, sweet, retail"
11-401	"Croissants, savoury, retail"
11-122	Morning rolls
11-481	Hamburger buns
11-714	"Pancakes, savoury, wholemeal, made with whole milk"
11-603	Dumplings
11-604	"Pancakes, savoury, made with whole milk"
11-605	"Risotto, plain"
11-606	"Stuffing, sage and onion"
11-607	"Yorkshire pudding, made with whole milk"
11-711	Pakoras
11-713	"Yorkshire pudding, made with skimmed milk"
11-338	Chinese flaky pastries
11-551	"Prawn crackers, takeaway"
11-712	"Pancakes, savoury, made with skimmed milk"
11-550	"Cheese and onion rolls, pastry"
11-428	"Cheese nachos, takeaway"
17-372	"Stuffing mix, dried, made up"
17-371	"Stuffing mix, dried"
11-357	"Spaghetti, canned in tomato sauce"
11-356	"Spaghetti, canned in bolognese sauce"
11-344	"Meat buns, Chinese"
11-339	Couscous
11-337	Chevra and chana chur
11-343	Masur
11-566	"Sandwich, Ham salad, white bread"
11-567	"Sandwich, Egg mayonnaise, white bread"
11-568	"Sandwich, Tuna mayonnaise, white bread"
11-564	"Sandwich, Cheddar cheese and pickle, white bread"
11-563	"Sandwich, Bacon, lettuce and tomato, white bread"
11-565	"Sandwich, Chicken salad, white bread"
11-557	"Pizza, vegetarian"
11-614	"Pizza, cheese and tomato, thin base"
11-613	"Pizza, cheese and tomato, deep pan"
11-560	"Pizza, fish topped, takeaway"
11-558	"Pizza, ham and pineapple, chilled"
11-556	"Pizza, meat topped"
11-555	"Pizza, cheese and tomato, takeaway"
11-554	"Pizza, cheese and tomato, french bread"
11-553	"Pizza, cheese and tomato, frozen"
11-552	"Pizza base, raw"
11-559	"Pizza, chicken topped, chilled"
12-932	"Omelette, Spanish"
12-927	"Quiche, Lorraine, wholemeal pastry"
12-933	"Souffle, plain"
12-929	"Quiche, mushroom, wholemeal"
12-928	"Quiche, mushroom"
12-925	"Quiche, Lorraine"
12-924	"Quiche, cheese and egg, wholemeal"
12-923	"Quiche, cheese and egg"
12-922	"Omelette, cheese"
12-921	"Omelette, plain"
12-926	"Eggs, chicken, scrambled, with milk"
12-934	"Souffle, cheese"
12-809	"Eggs, chicken, fried, without fat"
12-920	"Eggs, duck, whole, raw"
12-919	"Eggs, chicken, fried in vegetable oil"
12-918	"Eggs, chicken, whole, raw"
17-414	"Egg white, dried"
12-816	"Eggs, turkey, whole, raw"
12-815	"Eggs, quail, whole, raw"
12-814	"Eggs, duck, boiled and salted"
12-810	"Eggs, chicken, poached"
12-807	"Eggs, chicken, dried"
12-806	"Eggs, chicken, boiled"
12-805	"Eggs, chicken, yolk, raw"
12-804	"Eggs, chicken, white, raw"
12-803	"Eggs, chicken, whole, free-range, raw"
12-802	"Eggs, chicken, whole, battery, raw"
12-812	"Eggs, chicken, scrambled, without milk"
12-930	"Omelette, curried"
12-931	Egg fu yung
12-935	Macaroon
17-001	"Butteroil, unsalted"
17-008	"Ghee, palm"
17-005	"Compound cooking fat, polyunsaturated"
17-003	Cocoa butter alternative
17-002	Cocoa butter
17-045	Sunflower oil
17-489	"Vegetable oil, blended, average"
17-488	Cod liver oil
17-435	Borage oil
17-434	Blackcurrant seed oil
17-047	Walnut oil
17-044	Soya oil
17-043	Sesame oil
17-042	Safflower oil
17-033	Corn oil
17-048	Wheatgerm oil
17-031	Coconut oil
17-041	Rapeseed oil
17-034	Cottonseed oil
17-035	Evening primrose oil
17-036	Grapeseed oil
17-037	Hazelnut oil
17-038	Olive oil
17-039	Palm oil
17-040	Peanut (Groundnut) oil
17-442	"Margarine, catering"
17-022	"Fat spread (70-80% fat), not polyunsaturated"
17-554	Fat spread (5% fat)
17-553	"Fat spread (20-25% fat), not polyunsaturated"
17-552	"Fat spread (40% fat), not polyunsaturated"
17-551	"Fat spread (70% fat), polyunsaturated"
17-539	"Margarine, hard, vegetable fats only"
17-486	"Butter, spreadable"
17-485	Butter
17-432	"Margarine, soya"
17-460	"Fat spread 70% fat, monounsaturated"
17-027	"Fat spread (35-40% fat), polyunsaturated"
17-015	Blended spread (70-80% fat)
17-024	"Fat spread (60% fat), polyunsaturated"
17-021	"Margarine, soft, polyunsaturated"
17-020	"Margarine, soft, not polyunsaturated"
17-018	"Margarine, hard, animal and vegetable fats"
17-017	Dairy spread (40% fat)
17-016	"Blended spread, (40% fat)"
17-025	"Fat spread (60% fat), with olive oil"
17-029	"Fat spread (20-25% fat), polyunsaturated"
17-009	"Ghee, vegetable"
17-012	"Suet, vegetable"
17-010	Lard
17-007	"Ghee, butter"
17-004	Compound cooking fat
17-487	"Dripping, beef"
17-011	"Suet, shredded"
16-245	"Shrimps, boiled"
16-343	"Lobster, boiled, weighed with shell"
16-342	"Crab, boiled, weighed with shell"
16-332	"Lobster, boiled"
16-331	"Crab, boiled"
16-249	"Shrimps, dried"
16-248	"Shrimps, frozen"
16-247	"Shrimps, canned in brine, drained"
16-246	"Shrimps, boiled, weighed with shells"
16-234	"Crab, canned in brine, drained"
16-244	"Scampi, in breadcrumbs, frozen, fried in sunflower oil"
16-235	"Crayfish, raw"
16-238	"Prawns, raw"
16-239	"Prawns, boiled"
16-240	"Prawns, boiled, weighed with shells"
16-241	"Prawns, frozen, raw"
16-242	"Prawns, dried"
16-243	"Scampi, in breadcrumbs, frozen, fried in blended oil"
16-212	"Sardines, raw"
16-218	"Sprats, raw"
16-222	"Swordfish, grilled"
16-221	"Swordfish, raw"
16-220	"Sprats, fried, weighed with bones"
16-219	"Sprats, fried"
16-223	"Swordfish, grilled, weighed with bones and skin"
16-217	"Sardines, canned in tomato sauce"
16-214	"Sardines, grilled, weighed with bones"
16-224	"Trout, brown, raw"
16-197	"Mackerel, canned in brine, drained"
16-324	"Mackerel, raw"
16-347	"Trout, rainbow, grilled, weighed with bones and skin"
16-211	"Salmon, red, canned in brine, flesh and bones, drained"
16-210	"Salmon, red, canned in brine, flesh only, drained"
16-213	"Sardines, grilled"
16-328	"Sardines, canned in brine, drained"
16-207	"Salmon, smoked"
16-346	"Salmon, pink, canned in brine, flesh and bones, drained"
16-345	"Salmon, grilled, weighed with bones and skin"
16-344	"Mackerel, grilled, weighed with bones and skin"
16-339	"Tuna, canned in brine, drained"
16-338	"Salmon, pink, canned in brine, flesh only, drained"
16-231	"Whitebait, in flour, fried"
16-329	"Sardines, canned in oil, drained"
16-225	"Trout, rainbow, raw"
16-327	"Salmon, grilled"
16-326	"Salmon, raw"
16-325	"Mackerel, grilled"
16-323	"Anchovies, canned in oil, drained"
16-230	"Tuna, canned in oil, drained"
16-228	"Tuna, raw"
16-330	"Trout, rainbow, grilled"
16-171	"Bloater, grilled, weighed with bones and skin"
16-179	"Herring, in oatmeal, fried in vegetable oil, weighed with bones"
16-178	"Herring, in oatmeal, fried in vegetable oil"
16-177	"Herring, grilled, weighed with bones and skin"
16-176	"Herring, grilled"
16-175	"Herring, raw"
16-180	"Herrings, dried, salted"
16-173	"Eel, raw"
16-170	"Bloater, grilled"
16-169	"Bacha, raw"
50-629	"Trout, brown, steamed"
50-616	"Kipper, baked, weighed with bones"
50-615	"Kipper, baked"
16-206	"Salmon, steamed, weighed with bones and skin"
16-199	"Orange roughy, raw"
16-174	"Eel, jellied"
16-196	"Mackerel, smoked"
16-201	"Pilchards, canned in tomato sauce"
16-205	"Salmon, steamed"
50-630	"Trout, brown, steamed, weighed with bones"
16-181	"Herrings, dried, salted, weighed with bones and skin"
16-200	"Pangas, raw"
16-198	"Mackerel, canned in tomato sauce"
16-193	"Mackerel, fried in blended oil, weighed with bones and skin"
16-192	"Mackerel, fried in blended oil"
16-185	"Jackfish, raw"
16-182	"Herring, canned in tomato sauce"
16-189	"Kippers, grilled, weighed with bones"
16-183	"Herring, pickled"
16-188	"Kipper, grilled"
16-184	"Hilsa, raw"
16-187	"Kipper, raw"
16-190	"Kipper, boil in bag, boiled"
16-348	"Curry, fish and vegetable, Bangladeshi"
16-306	Seafood cocktail
16-305	"Seafood pasta, retail"
16-334	Fish paste
16-308	Tuna pate
16-354	Fish pie
16-321	"Sesame prawn toasts, takeaway"
16-304	"Salmon en croute, retail"
16-333	"Curry, prawn, takeaway"
16-307	Taramasalata
16-335	"Szechuan prawns with vegetables, takeaway"
16-336	"Curry, fish, Bangladeshi"
16-337	Kedgeree
16-349	"Curry, haddock, Bengali"
16-350	"Curry, herring, Bengali"
16-351	"Curry, prawn and mushroom"
16-353	"Fish cakes, salmon, homemade"
16-355	"Pilau, prawn"
16-303	"Roe, herring, soft, fried in blended oil"
16-290	"Fish fingers, cod, fried in lard"
16-352	"Fish cakes, cod, homemade"
16-281	"Fish cakes, grilled"
16-292	"Fish fingers, economy, frozen"
16-302	"Roe, herring, soft, raw"
16-272	"Caviare, bottled in brine, drained"
16-273	Crabsticks
16-280	"Fish cakes, frozen, raw"
16-282	"Fish cakes, fried in blended oil"
16-283	"Fish cakes, fried in lard"
16-284	"Fish cakes, fried in sunflower oil"
16-299	"Roe, cod, hard, raw"
16-301	"Roe, cod, hard, coated in batter, fried"
16-279	"Fish balls, steamed"
16-300	"Roe, cod, hard, fried in blended oil"
16-287	"Fish fingers, cod, frozen, raw"
16-297	"Mackerel pate, smoked"
16-295	"Fisherman's pie, retail"
16-291	"Fish fingers, cod, fried in sunflower oil"
16-289	"Fish fingers, cod, fried in blended oil"
16-288	"Fish fingers, cod, grilled"
16-260	"Oysters, raw"
16-270	"Winkles, boiled"
16-266	"Squid, in batter, fried in sunflower oil"
16-265	"Squid, in batter, fried in blended oil"
16-264	"Squid, frozen, raw"
16-263	"Squid, raw"
16-262	"Scallops, steamed"
16-261	"Oysters, raw, weighed with shells"
16-267	"Squid, dried"
16-259	"Octopus, raw"
16-258	"Mussels, canned and bottled, drained"
16-257	"Mussels, boiled, weighed with shells"
16-256	"Mussels, boiled"
16-255	"Mussels, raw"
16-254	"Cuttlefish, raw"
16-253	"Cockles, bottled in vinegar, drained"
16-252	"Cockles, boiled"
16-250	"Abalone, canned in brine, drained"
16-251	"Clams, canned in brine, drained"
16-269	"Whelks, boiled, weighed with shells"
16-271	"Winkles, boiled, weighed with shells"
16-268	"Whelks, boiled"
16-120	"Plaice, goujons, fried in blended oil"
16-109	"Plaice, frozen, steamed, weighed with bones and skin"
16-110	"Plaice, in batter, fried in blended oil"
16-111	"Plaice, in batter, fried in dripping"
16-112	"Plaice, in batter, fried in retail blend oil"
16-113	"Plaice, in batter, fried in sunflower oil"
16-114	"Plaice, in crumbs, fried in blended oil"
16-115	"Plaice, in crumbs, fried in lard"
16-116	"Plaice, in crumbs, fried in sunflower oil"
16-117	"Plaice, in crumbs, frozen, fried in blended oil"
16-108	"Plaice, frozen, steamed"
16-119	"Plaice, goujons, baked"
16-105	"Plaice, frozen, raw"
16-121	"Plaice, goujons, fried in lard"
16-122	"Plaice, goujons, fried in sunflower oil"
16-123	"Pollack, Alaskan, raw"
16-124	"Pomfret, black, raw"
16-125	"Pomfret, white, raw"
16-126	"Red snapper, raw"
16-127	"Red snapper, fried in blended oil"
16-118	"Plaice, in crumbs, frozen, fried in blended oil, weighed with bones and skin"
16-098	"Mullet, Red, raw"
16-088	"Lemon sole, goujons, fried in blended oil"
16-089	"Lemon sole, goujons, fried in lard"
16-090	"Lemon sole, goujons, fried in sunflower oil"
16-091	"Ling, raw"
16-092	"Monkfish, raw"
16-093	"Monkfish, grilled"
16-094	"Monkfish, grilled, weighed with bones"
16-095	"Mullet, Grey, raw"
16-107	"Plaice, frozen, grilled, weighed with bones and skin"
16-097	"Mullet, Grey, grilled, weighed with bones and skin"
16-128	"Red snapper, fried in blended oil, weighed with bones and skin"
16-099	"Mullet, Red, grilled"
16-100	"Mullet, Red, grilled, weighed with bones and skin"
16-101	"Parrot fish, raw"
16-102	"Plaice, raw"
16-103	"Plaice, grilled"
16-104	"Plaice, grilled, weighed with bones and skin"
16-131	"Redfish, raw"
16-106	"Plaice, frozen, grilled"
16-096	"Mullet, Grey, grilled"
